timestamp,ollama-deployment-b47f85cb4-5glnr,ollama-deployment-b47f85cb4-cnp9n,ollama-deployment-b47f85cb4-hhxbb,ollama-deployment-b47f85cb4-kbmpj,ollama-deployment-b47f85cb4-mk4j6,ollama-deployment-b47f85cb4-mwbt5,ollama-deployment-b47f85cb4-n8t54,vectorexp-deployment-668478cb95-rn5pj
2025-04-23T08:38:35.093039,1,1979,1982,1,1,1,1979,1
2025-04-23T08:38:45.630768,1,1980,1960,1,1,1,1979,1
2025-04-23T08:38:56.006305,1,1979,1981,1,1,1,1979,1
2025-04-23T08:39:06.570782,1,1981,1982,1,1,1,1979,2
2025-04-23T08:39:17.159026,1,1981,1982,1,1,1,1979,2
2025-04-23T08:39:27.933343,1,1980,1986,1,203,1,1979,1
2025-04-23T08:39:38.526816,89,1980,1985,198,1,16,1981,2
2025-04-23T08:39:49.444702,89,1980,1985,198,1,16,1981,2
2025-04-23T08:39:59.852899,1,1980,1985,1,1,1,1981,2
2025-04-23T08:40:10.219379,1,1980,1985,1,1,1,1980,1
2025-04-23T08:40:20.811848,1,1980,1985,1,1,1,1980,1
2025-04-23T08:40:31.234482,1,1980,1985,1,1,1,1981,1
2025-04-23T08:40:41.888789,1,1980,1985,1,1,1,1981,1
2025-04-23T08:40:52.314092,22,1979,1985,104,1083,1,1982,1
2025-04-23T08:41:02.709421,22,1979,1985,104,1083,1,1982,1
2025-04-23T08:41:13.306275,1,1976,1985,1,1,1,1982,1
2025-04-23T08:41:24.657502,46,1981,1985,196,1,448,1983,2
2025-04-23T08:41:35.239432,46,1981,1985,196,1,448,1983,2
2025-04-23T08:41:45.848612,16,1981,1986,1,1,1,1980,1
2025-04-23T08:41:56.304992,16,1980,1985,1,1345,1,1980,1
2025-04-23T08:42:07.009816,1,1979,1984,1,1,31,1980,2
2025-04-23T08:42:17.803633,1,1979,1984,1,1,31,1980,2
2025-04-23T08:42:28.391480,1,1980,1987,1,1,82,1980,1
2025-04-23T08:42:38.784734,1,1977,1984,1,1,1,1981,1
2025-04-23T08:42:49.390697,1,1977,1984,1,1,1,1981,1
2025-04-23T08:42:59.936394,23,1981,1984,85,184,802,1980,2
2025-04-23T08:43:10.516101,1,1981,1985,1,825,1,1981,1
2025-04-23T08:43:21.134343,400,1979,1985,1,1,1,1980,1
2025-04-23T08:43:31.551688,400,1979,1985,1,1,1,1980,1
2025-04-23T08:43:43.208479,1,1978,1985,114,1,1,1980,2
2025-04-23T08:43:54.019843,1,1981,1985,1,1,1,1979,1
2025-04-23T08:44:04.748627,1,1981,1985,1,1,1,1979,1
